target_pnc,target_name,first-association,count-per-first-association
Rolli-Schäuble,Wolfgang Schäuble,anspielung auf das schäuble-attentat,1
Rolli-Schäuble,Wolfgang Schäuble,minister mit unterschiedlichen funktionen,1
Ruhrpott-Messi,Lionel Messi,fußballer,1
Ruhrpott-Messi,Lionel Messi,50 meter solo,1
Ruhrpott-Messi,Lionel Messi,guter fußballspieler,1
Ruhrpott-Messi,Lionel Messi,argentinien,1
SPD-Giffey,Franziska Giffey,berlin,2
SPD-Giffey,Franziska Giffey,politikerin,2
SPD-Giffey,Franziska Giffey,spd,1
SPD-Giffey,Franziska Giffey,bürgermeisterin,1
SPD-Giffey,Franziska Giffey,mitglied bei der spd,1
SPD-Giffey,Franziska Giffey,zentristisch,1
SPD-Scholz,Olaf Scholz,spd,3
SPD-Scholz,Olaf Scholz,bundeskanzler,3
SPD-Scholz,Olaf Scholz,sozialdemokrat,1
SPD-Scholz,Olaf Scholz,sozialdemokratie,1
SPD-Scholz,Olaf Scholz,linke,1
SPD-Scholz,Olaf Scholz,parteimitglied der spd,1
SPD-Scholz,Olaf Scholz,spitzenkandidat der spd,1
Salto-Klose,Miroslav Klose,fußball,3
Salto-Klose,Miroslav Klose,sport,1
Salto-Klose,Miroslav Klose,macht oft saltos,1
Salto-Klose,Miroslav Klose,fußballer,1
Salto-Klose,Miroslav Klose,wm-torschützenkönig,1
Salto-Klose,Miroslav Klose,deutscher rekordtorschütze,1
Salto-Klose,Miroslav Klose,kopfball,1
Salto-Klose,Miroslav Klose,fußball?,1
Salto-Klose,Miroslav Klose,fußballtrainer,1
Salto-Klose,Miroslav Klose,ehemaliger nationalelf-spieler,1
Schande-Höcke,Björn Höcke,afd,3
Schande-Höcke,Björn Höcke,politiker,2
Schande-Höcke,Björn Höcke,mahnmal der schande,1
Schande-Höcke,Björn Höcke,idiot,1
Schande-Höcke,Björn Höcke,ein absolut rechtsextremes arschloch,1
Schande-Höcke,Björn Höcke,rechtsradikal,1
Schießbefehl-Petry,Frauke Petry,afd,5
Schießbefehl-Petry,Frauke Petry,rechts,2
Schießbefehl-Petry,Frauke Petry,rechtsextrem,1
Schießbefehl-Petry,Frauke Petry,ehemals afd,1
Schießbefehl-Petry,Frauke Petry,frauke petry,1
Schießbefehl-Petry,Frauke Petry,politikerin,1
Schießbefehl-Petry,Frauke Petry,migration,1
Schiss-Gauland,Alexander Gauland,afd,3
Schiss-Gauland,Alexander Gauland,stinkt,1
Schiss-Gauland,Alexander Gauland,wahrscheinlich wegen seinem historischen vergleich der ns-zeit,1
Schiss-Gauland,Alexander Gauland,vogelschiss der geschichte,1
Schiss-Gauland,Alexander Gauland,politiker,1
Schiss-Gauland,Alexander Gauland,badehosendiebstahl,1
Schiss-Gauland,Alexander Gauland,nazi,1
Schiss-Gauland,Alexander Gauland,faschist,1
Schmiergeld-Schäuble,Wolfgang Schäuble,finanzminister,2
Schmiergeld-Schäuble,Wolfgang Schäuble,politiker,2
Schmiergeld-Schäuble,Wolfgang Schäuble,cdu,1
Schmiergeld-Schäuble,Wolfgang Schäuble,koffer mit bargeld,1
Schmiergeld-Schäuble,Wolfgang Schäuble,war in skandale verwickelt,1
Schmiergeld-Schäuble,Wolfgang Schäuble,bestechlich,1
Schmiergeld-Schäuble,Wolfgang Schäuble,bestechungsskandal,1
Schreibmaschinen-Hoeneß,Uli Hoeneß,alter mann,1
Schreibmaschinen-Hoeneß,Uli Hoeneß,hat den fußball an den nagel gehangen,1
Schreibmaschinen-Hoeneß,Uli Hoeneß,vergangenheit,1
Schreibmaschinen-Hoeneß,Uli Hoeneß,steuern,1
Schubladen-Schäuble,Wolfgang Schäuble,denkt in schubladen,1
Schubladen-Schäuble,Wolfgang Schäuble,cdu-politiker im rollstuhl,1
Schubladen-Schäuble,Wolfgang Schäuble,bestechlich,1
Schubladen-Schäuble,Wolfgang Schäuble,rollstuhl,1
Schubladen-Schäuble,Wolfgang Schäuble,parteispenden,1
Schubladen-Schäuble,Wolfgang Schäuble,spenden-affäre,1
Schubladen-Schäuble,Wolfgang Schäuble,spenden in schubladen verschwunden,1
Schubladen-Schäuble,Wolfgang Schäuble,minister,1
Schulden-Schäuble,Wolfgang Schäuble,schwarze null,3
Schulden-Schäuble,Wolfgang Schäuble,cdu,2
Schulden-Schäuble,Wolfgang Schäuble,politiker,2
Schulden-Schäuble,Wolfgang Schäuble,finanzminister,1
Schulden-Schäuble,Wolfgang Schäuble,unbeliebt,1
Schuldenberg-Scholz,Olaf Scholz,macht schulden ohne ende,1
Schuldenberg-Scholz,Olaf Scholz,er macht viele schulden in hamburg und deutschland,1
Schuldenberg-Scholz,Olaf Scholz,kanzler,1
Schuldenberg-Scholz,Olaf Scholz,hohen neuverschuldung durch corona und ukrainekrieg,1
Schuldenberg-Scholz,Olaf Scholz,schattenhaushalt,1
Schuldenberg-Scholz,Olaf Scholz,bundeskanzler,1
Schuldenberg-Scholz,Olaf Scholz,weil während scholzes amtszeit extrem viele schulden aufgenommen wurden,1
Schuldenberg-Scholz,Olaf Scholz,mitgrund des problems,1
Schuldenberg-Scholz,Olaf Scholz,hamburg,1
Schuldenberg-Scholz,Olaf Scholz,schulden,1
Schuldenbremse-Merkel,Angela Merkel,kanzlerin,2
Schuldenbremse-Merkel,Angela Merkel,geld sparen,1
Schuldenbremse-Merkel,Angela Merkel,etablierung der schuldenbremse,1
Schuldenbremse-Merkel,Angela Merkel,abbau von sozialleistungen,1
Schuldenbremse-Merkel,Angela Merkel,schwarze null,1
Schuldenbremse-Merkel,Angela Merkel,keine schulden,1
Schuldenbremse-Merkel,Angela Merkel,schuldenbremse,1
Schuldenbremse-Merkel,Angela Merkel,bundeskanzlerin,1
Schuldenbremse-Merkel,Angela Merkel,kanzler,1
Schuldenbremse-Merkel,Angela Merkel,altbundeskanzler,1
Schuldkult-Weidel,Alice Weidel,afd,8
Schuldkult-Weidel,Alice Weidel,geschichtsunterricht,1
Schuldkult-Weidel,Alice Weidel,machthungrig,1
Schuldkult-Weidel,Alice Weidel,rechts,1
Schuldkult-Weidel,Alice Weidel,afd-politikerin,1
Schuldkult-Weidel,Alice Weidel,afd-vorsitzende,1
Schuldkult-Weidel,Alice Weidel,erinnerungskultur,1
Schummel-Giffey,Franziska Giffey,politikerin,2
Schummel-Giffey,Franziska Giffey,plagiatsäffäre,1
Schummel-Giffey,Franziska Giffey,sie zog sich aus der verantwortung,1
Schummel-Giffey,Franziska Giffey,betrügerin,1
Schummel-Giffey,Franziska Giffey,regierende,1
Schummel-Giffey,Franziska Giffey,sie hat ihren doktortitel erkauft und von jemand anderem die doktorarbeit schreiben lassen beziehungsweise sie abgeschrieben,1
Schummel-Giffey,Franziska Giffey,doktorarbeit,1
Schummel-Giffey,Franziska Giffey,medienkampagne,1
Schwarzgeld-Schäuble,Wolfgang Schäuble,cdu,3
Schwarzgeld-Schäuble,Wolfgang Schäuble,cdu-spendenaffäre,2
Schwarzgeld-Schäuble,Wolfgang Schäuble,schwarzgeldaffäre,1
Schwarzgeld-Schäuble,Wolfgang Schäuble,korruption,1
Schwarzgeld-Schäuble,Wolfgang Schäuble,koffer-affäre,1
Schwarzgeld-Schäuble,Wolfgang Schäuble,mögliche finanzaspekte,1
Schwarzgeld-Schäuble,Wolfgang Schäuble,politiker,1
Selfie-Merkel,Angela Merkel,cdu,2
Selfie-Merkel,Angela Merkel,flüchtlingskrise,1
Selfie-Merkel,Angela Merkel,"der spitzname ""selfie-merkel"" könnte auf eine zugängliche und volksnahe seite von angela merkel hinweisen die durch ihre bereitschaft selfies mit menschen zu machen symbolisiert wird",1
Selfie-Merkel,Angela Merkel,geber,1
Selfie-Merkel,Angela Merkel,ehemalige bundeskanzlerin,1
Selfie-Merkel,Angela Merkel,volksnähe,1
Selfie-Merkel,Angela Merkel,bundeskanzlerin,1
Selfie-Merkel,Angela Merkel,2015,1
Selfie-Merkel,Angela Merkel,unkonventionell,1
Selfie-Merkel,Angela Merkel,kanzlerin,1
Selfie-Merkel,Angela Merkel,flüchtligsheimbesuch,1
Selfie-Merkel,Angela Merkel,anas modamani,1
Smartie-Spahn,Jens Spahn,gesundheit,1
Smartie-Spahn,Jens Spahn,überheblich,1
Smartie-Spahn,Jens Spahn,ehemaliger bundesgesundheitsminister,1
Spaß-Guido,Guido Westerwelle,fdp,3
Spaß-Guido,Guido Westerwelle,öffentliches image,1
Spaß-Guido,Guido Westerwelle,ulkig,1
Spaß-Guido,Guido Westerwelle,fdp-politiker,1
Spaß-Guido,Guido Westerwelle,ehemaliger fdp-politiker,1
Spaß-Guido,Guido Westerwelle,ehemaliger fdp-vorsitzende,1
Spenden-Schäuble,Wolfgang Schäuble,korrupt,1
Spenden-Schäuble,Wolfgang Schäuble,cdu-politiker,1
Spenden-Schäuble,Wolfgang Schäuble,spendenaffäre,1
Spenden-Schäuble,Wolfgang Schäuble,rollstuhl,1
Spenden-Schäuble,Wolfgang Schäuble,cdu,1
Spenden-Schäuble,Wolfgang Schäuble,kohl,1
Spenden-Schäuble,Wolfgang Schäuble,schwarze null,1
Spenden-Schäuble,Wolfgang Schäuble,ehemaliger bundestagspräsident,1
Spenden-Schäuble,Wolfgang Schäuble,finanzminister,1
Spenden-Spahn,Jens Spahn,cdu,3
Spenden-Spahn,Jens Spahn,wahlkampf spenden,1
Spenden-Spahn,Jens Spahn,unseriös,1
Spenden-Spahn,Jens Spahn,gesundheitsminister,1
Spenden-Spahn,Jens Spahn,spendenaffäre,1
Spenden-Spahn,Jens Spahn,korruption,1
Spenden-Spahn,Jens Spahn,früherer gesundheitsminister,1
Spenden-Spahn,Jens Spahn,abendessen bei spendenmarathon und folgende zahlung von spenden an spahn,1
Spritzen-Spahn,Jens Spahn,cdu,3
Spritzen-Spahn,Jens Spahn,gesundheitsminister,2
Spritzen-Spahn,Jens Spahn,impfkampagnen,1
Spritzen-Spahn,Jens Spahn,corona-pandemie,1
Spritzen-Spahn,Jens Spahn,corona-impfung,1
Spritzen-Spahn,Jens Spahn,früherer gesundheitsminister,1
Spritzen-Spahn,Jens Spahn,ehemaliger gesundheitsminister,1
Spritzen-Spahn,Jens Spahn,gesundheitsminister während der corona-pandemie,1
Spritzen-Spahn,Jens Spahn,impfen,1
Steuer-Hoeneß,Uli Hoeneß,steuerhinterziehung,4
Steuer-Hoeneß,Uli Hoeneß,fc bayern,3
Steuer-Hoeneß,Uli Hoeneß,fußball,1
Steuer-Hoeneß,Uli Hoeneß,hinterzog steuern bei finanz-spekulationen und war im gefängnis deswegen,1
Steuer-Hoeneß,Uli Hoeneß,steuerhinterziehungen,1
Steuer-Hoeneß,Uli Hoeneß,gefängnis,1
Steuer-Hoeneß,Uli Hoeneß,steuerhinterzieher,1
Steuer-Hoeneß,Uli Hoeneß,saß im knast wegen steuerhinterziehung,1
Steuer-Hoeneß,Uli Hoeneß,bayern münchen,1
TV-Lauterbach,Karl Lauterbach,gesundheitsminister,2
TV-Lauterbach,Karl Lauterbach,corona,2
TV-Lauterbach,Karl Lauterbach,graue haare,1
TV-Lauterbach,Karl Lauterbach,tritt oft im tv auf,1
TV-Lauterbach,Karl Lauterbach,dass er sich ständig im fernsehen aufhält,1
TV-Lauterbach,Karl Lauterbach,wahrscheinlich weil er wegen corona so oft im tv war,1
TV-Lauterbach,Karl Lauterbach,egozentrisch,1
TV-Lauterbach,Karl Lauterbach,karlchen,1
TV-Lauterbach,Karl Lauterbach,minister,1
Talkshow-Habeck,Robert Habeck,labert immer im tv,1
Talkshow-Habeck,Robert Habeck,war in vielen talkshows,1
Talkshow-Habeck,Robert Habeck,grüner politiker,1
Talkshow-Habeck,Robert Habeck,durch häufiges auftreten in talkshows im öffentlich-rechtlichen entstanden,1
Talkshow-Habeck,Robert Habeck,lanz,1
Talkshow-Habeck,Robert Habeck,viele talkshows,1
Talkshow-Habeck,Robert Habeck,grünen-politker,1
Talkshow-Habeck,Robert Habeck,politiker,1
Talkshow-Habeck,Robert Habeck,dass habeck in vielen talkshows unterwegs war und stellenweise dort zu viel geredet hat,1
Talkshow-Habeck,Robert Habeck,uninformiert,1
Talkshow-Habeck,Robert Habeck,maischberger,1
Talkshow-Habeck,Robert Habeck,rednerisch,1
Talkshow-Lauterbach,Karl Lauterbach,ard,1
Talkshow-Lauterbach,Karl Lauterbach,zeitverschwendung,1
Talkshow-Lauterbach,Karl Lauterbach,spd,1
Talkshow-Lauterbach,Karl Lauterbach,gesundheitsminister,1
Talkshow-Lauterbach,Karl Lauterbach,mediapräsent,1
Talkshow-Lauterbach,Karl Lauterbach,minister,1
Talkshow-Lauterbach,Karl Lauterbach,häufige auftritte in talkshows,1
Terror-Bush,George Bush,usa,3
Terror-Bush,George Bush,11. september,1
Terror-Bush,George Bush,kriegstreiber,1
Terror-Bush,George Bush,krieg,1
Terror-Bush,George Bush,9/11,1
Terror-Bush,George Bush,irakkrieg,1
Terror-Bush,George Bush,world trade center,1
Terror-Bush,George Bush,anschlag vom 11. september 2001,1
Terror-Bush,George Bush,präsident,1
Terror-Bush,George Bush,irak,1
Terror-Bush,George Bush,9.november,1
Terror-Thomas,Thomas De Maizière,ist nervig,1
Terror-Thomas,Thomas De Maizière,cdu-politiker,1
Terror-Thomas,Thomas De Maizière,weil er innenminister war,1
Terror-Thomas,Thomas De Maizière,minister,1
Terror-Thomas,Thomas De Maizière,ehemals zuständig für bundeswehr,1
Terror-Thomas,Thomas De Maizière,terrorabwehr,1
Terror-Thomas,Thomas De Maizière,cdu,1
Terror-Thomas,Thomas De Maizière,innenminister,1
Thermo-Lindner,Christian Lindner,fdp,2
Thermo-Lindner,Christian Lindner,fdp-politiker,1
Thermo-Lindner,Christian Lindner,wahlkampf,1
Thermo-Lindner,Christian Lindner,finanzminister,1
Thermo-Lindner,Christian Lindner,anti-wärmepumpen-kampagne,1
Thermo-Lindner,Christian Lindner,steuern,1
Toblerone-Meuthen,Jörg Meuthen,afd,2
Toblerone-Meuthen,Jörg Meuthen,boykottierung,1
Toblerone-Meuthen,Jörg Meuthen,narzisst,1
Tore-Klose,Miroslav Klose,fußball,2
Tore-Klose,Miroslav Klose,wm,1
Tore-Klose,Miroslav Klose,maschine,1
Tore-Klose,Miroslav Klose,rekordtorschütze,1
Tore-Klose,Miroslav Klose,nationalmannschaft,1
Tore-Klose,Miroslav Klose,dfb,1
Tore-Klose,Miroslav Klose,torjäger,1
Tore-Klose,Miroslav Klose,weil er bei der wm und em und in der bundesliga viele tore schießt,1
Tore-Klose,Miroslav Klose,viele tore,1
Tore-Messi,Lionel Messi,fußball,1
Tore-Messi,Lionel Messi,weltmeisterschaft,1
Tore-Messi,Lionel Messi,fußballlegende,1
Tore-Messi,Lionel Messi,weltfußballer,1
Tore-Messi,Lionel Messi,weltmeister,1
Tore-Messi,Lionel Messi,torjäger,1
Tore-Messi,Lionel Messi,talent,1
Tore-Messi,Lionel Messi,schießt viele tore,1
Tore-Messi,Lionel Messi,rekordhalter für die meisten tore in seiner fußballkarriere,1
Tore-Messi,Lionel Messi,fußballspieler,1
Tore-Poldi,Lukas Podolski,fußballspieler,2
Tore-Poldi,Lukas Podolski,poldi schießt tore,1
Tore-Poldi,Lukas Podolski,fußball,1
Tore-Poldi,Lukas Podolski,hat viele tore geschossen,1
Tore-Poldi,Lukas Podolski,torjäger,1
Tore-Poldi,Lukas Podolski,köln,1
Tore-Poldi,Lukas Podolski,sportlich,1
Turnschuh-Fischer,Joschka Fischer,grüne,2
Turnschuh-Fischer,Joschka Fischer,aktivismus,1
Turnschuh-Fischer,Joschka Fischer,original,1
Turnschuh-Fischer,Joschka Fischer,umweltminister,1
Turnschuh-Fischer,Joschka Fischer,grün,1
Turnschuh-Fischer,Joschka Fischer,hat früher turnschuhe im bundestag getragen,1
Turnschuh-Fischer,Joschka Fischer,grünen-gründungsmitglied,1
Turnschuh-Fischer,Joschka Fischer,grünenpolitiker,1
Turnschuh-Fischer,Joschka Fischer,ex-außenminister,1
Turnschuh-Fischer,Joschka Fischer,grüner,1
Turnschuh-Fischer,Joschka Fischer,ehemaliger grünen-politiker der bei vereidigung tunschuhe getragen hat,1
Turnschuh-Fischer,Joschka Fischer,die grünen,1
Tönnies-Laschet,Armin Laschet,cdu,2
Tönnies-Laschet,Armin Laschet,hatte verbindung mit dem fleischproduzenten,1
Tönnies-Laschet,Armin Laschet,ministerpräsident,1
Tönnies-Laschet,Armin Laschet,parteiisch,1
Tönnies-Laschet,Armin Laschet,großmetzgerei,1
Tönnies-Laschet,Armin Laschet,gammelfleisch,1
Tönnies-Laschet,Armin Laschet,politiker,1
Tönnies-Laschet,Armin Laschet,tönnies-skandal,1
Tönnies-Laschet,Armin Laschet,schalke,1
Türken-Laschet,Armin Laschet,nrw,2
Türken-Laschet,Armin Laschet,verbindungen zur türkei,1
Türken-Laschet,Armin Laschet,spd-politiker,1
Türken-Laschet,Armin Laschet,weil er aus einem bundesland mit viel migrantiondichte kommt,1
Türken-Laschet,Armin Laschet,lachen,1
Türken-Laschet,Armin Laschet,kanzlerkandidat,1
Türken-Laschet,Armin Laschet,integrationsminister,1
Ultimatum-Seehofer,Horst Seehofer,politik,1
Ultimatum-Seehofer,Horst Seehofer,csu,1
Ultimatum-Seehofer,Horst Seehofer,dieselaffäre,1
Ultimatum-Seehofer,Horst Seehofer,entscheidend,1
Ultimatum-Seehofer,Horst Seehofer,ehemaliger bundesinnenminister,1
Vanlaack-Laschet,Armin Laschet,cdu,1
Vanlaack-Laschet,Armin Laschet,mögliche beziehung zu kleidungsmarken,1
Vielflieger-Hofreiter,Anton Hofreiter,politiker,3
Vielflieger-Hofreiter,Anton Hofreiter,grüne,2
Vielflieger-Hofreiter,Anton Hofreiter,umweltverschmutzung,2
Vielflieger-Hofreiter,Anton Hofreiter,grün,1
Vielflieger-Hofreiter,Anton Hofreiter,innerdeutsche flüge,1
Villen-Spahn,Jens Spahn,cdu,3
Villen-Spahn,Jens Spahn,gesundheitsminister,2
Villen-Spahn,Jens Spahn,reichtum,1
Villen-Spahn,Jens Spahn,gierig,1
Villen-Spahn,Jens Spahn,hat sich für mehrere millionen eine villa in berlin gekauft,1
Villen-Spahn,Jens Spahn,luxus,1
Villen-Spahn,Jens Spahn,früherer deutscher gesundheitsminister,1
Villen-Spahn,Jens Spahn,ex-gesundheitsminister,1
Villen-Spahn,Jens Spahn,kauf und dann verkauf einer millionen-villa,1
Vogelschiss-Gauland,Alexander Gauland,afd,2
Vogelschiss-Gauland,Alexander Gauland,rassismus,1
Vogelschiss-Gauland,Alexander Gauland,nazi,1
Vogelschiss-Gauland,Alexander Gauland,rechtsextremismus,1
Vogelschiss-Gauland,Alexander Gauland,mögliche politische kontroversen,1
Vollgas-Vettel,Sebastian Vettel,formel 1,7
Vollgas-Vettel,Sebastian Vettel,rennfahrer,2
Vollgas-Vettel,Sebastian Vettel,autorennen,1
Vollgas-Vettel,Sebastian Vettel,weltmeister,1
Vollgas-Vettel,Sebastian Vettel,ferrari,1
Vote-Obama,Barack Obama,präsident,2
Vote-Obama,Barack Obama,amerikanischer präsident,1
Vote-Obama,Barack Obama,wahlkampf,1
Vote-Obama,Barack Obama,guter mann,1
Vote-Obama,Barack Obama,ehrgeizig,1
WM-Müller,Thomas Müller,trifft immer bei der wm,1
WM-Müller,Thomas Müller,torschützenkönig bei wm,1
WM-Müller,Thomas Müller,fußball,1
WM-Müller,Thomas Müller,wm-gewinn,1
WM-Müller,Thomas Müller,fußballer,1
WM-Müller,Thomas Müller,fußballspieler,1
WM-Müller,Thomas Müller,weil thomas müller immer zur wm in top-form und ein torgarant war,1
WM-Müller,Thomas Müller,tore,1
Wahlkampf-Obama,Barack Obama,kämpfer,2
Wahlkampf-Obama,Barack Obama,verspricht viel im wahlkampf,1
Wahlkampf-Obama,Barack Obama,im wahlkampf war er anders als als präsident,1
Wahlkampf-Obama,Barack Obama,früherer us-präsident,1
Wahlkampf-Obama,Barack Obama,familie,1
Wahlkampf-Obama,Barack Obama,großer wahlkampf,1
Wahlkampf-Obama,Barack Obama,us-präsident,1
Wahlkampf-Obama,Barack Obama,usa,1
Wahlkampf-Obama,Barack Obama,ernst,1
Wehrmacht-Gauland,Alexander Gauland,afd,4
Wehrmacht-Gauland,Alexander Gauland,politiker,2
Wehrmacht-Gauland,Alexander Gauland,möchte gern altnazi,1
Wehrmacht-Gauland,Alexander Gauland,rechtsradikal,1
Wehrmacht-Gauland,Alexander Gauland,nazi,1
Willkommens-Merkel,Angela Merkel,flüchtlingspolitik,3
Willkommens-Merkel,Angela Merkel,offenheit,1
Willkommens-Merkel,Angela Merkel,immigration,1
Willkommens-Merkel,Angela Merkel,freundlich,1
Willkommens-Merkel,Angela Merkel,bundeskanzlerin,1
Willkommens-Merkel,Angela Merkel,flüchtlingskrise,1
Willkommens-Merkel,Angela Merkel,ehemalige bundeskanzlerin,1
Willkommens-Merkel,Angela Merkel,flüchtlinge,1
Willkommens-Merkel,Angela Merkel,kanzlerin,1
